"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"X07AA.1",16,0.967704001110615,0.944152912919949,0.21095391776183,6,0.111640913999312,0.6,9
"X07AA.3",12,0.715192532340417,1.03277238063053,0.292763937105102,2,-1.08476423507075,0.2,9
"X09AF.1",10,0.333054508516665,0.973058183172314,0.242535930078877,1,-2.63879943251093,0.1,9
"X09AF.3",8,0.274670571832864,1.01445633597638,0.296062891345782,1,-2.49874531989047,0.1,9
"X04AB.3",50,1.19292289106439,1.35818126243222,0.214893577929865,3,-0.769024244278568,0.3,9
"X04AJ.3",40,1.24863681960874,1.31906245325857,0.259722059708428,5,-0.271157689604381,0.5,9
"X06AE.3",17,1.16968438611727,0.994791979321317,0.212451794453712,7,0.823209835650777,0.7,9
"X04AC.3",36,0.856806766798553,1.4222300940345,0.340930986496953,1,-1.65846857466856,0.1,9
"X04AK.3",42,0.66837920841594,0.861757883481881,0.197809905137749,2,-0.977598543062225,0.2,9
"X06AF.3",17,1.31809658902088,1.40896781222194,0.303981793798178,5,-0.298936400320727,0.5,9
"X07AJ.1",11,0.717438414554721,1.45197689599258,0.628678127517007,1,-1.16838561624364,0.1,9
"X09AU.1",7,0.141364720957796,0.184406823432113,0.0796647602779992,5,-0.540290365829466,0.5,9
"X09AU.3",5,0.383598056969196,0.542921217993169,0.297902043643966,3,-0.534817281127438,0.3,9
"X04AD.3",37,0.91002539963336,1.38881312856022,0.276939895545871,1,-1.72885068791959,0.1,9
"X04AL.3",48,1.07788039577761,1.24965124138788,0.228926313960439,3,-0.750332465668197,0.3,9
"X06AG.3",15,0.7571376007262,0.982427153441734,0.240645488055636,3,-0.936188559095063,0.3,9
"X08AJ.1",20,0.819531891439941,1.48223234100867,0.74904043371231,2,-0.884732545457296,0.2,9
"X08AJ.2",14,0.379388114595831,1.05839550511304,0.599511642580013,2,-1.13260084090291,0.2,9
"X04AE.3",41,1.34743091777602,1.3248304604657,0.155018970696966,6,0.145791558340932,0.6,9
"X04AF.3",49,1.22270374964808,1.42231534491092,0.243767266022593,1,-0.818861361165434,0.1,9
"X04AN.3",41,1.19315176272306,1.34858359597854,0.310434678303517,4,-0.500690947625078,0.4,9
"X06AO.3",19,0.267325131632939,0.253350907909458,0.0851207262691815,7,0.164169460670365,0.7,9
"X08AN.3",8,0.0671783947379399,0.584170586881959,0.293647388165959,1,-1.76058842332299,0.1,9
"X04AG.3",45,1.47085124991488,1.39604401031503,0.154928750623234,6,0.482849305238205,0.6,9
"X08AS.1",3,0.648919261589928,0.763732757049137,0.281561279870978,5,-0.407774447934817,0.5,9
"X08AS.2",3,0.485484406971797,0.569735986963158,0.221133137689776,5,-0.38099934216805,0.5,9
"X04AH.3",26,0.990906036057141,1.20581065034702,0.317104760520105,3,-0.677708571569229,0.3,9
