"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"X07AA.1",16,0.0734286116262897,0.505579798578651,0.29312452152209,1,-1.47429217012741,0.1,9
"X07AA.3",12,0.207490431165113,0.94507952994678,0.459102130920368,1,-1.60659044928198,0.1,9
"X09AF.1",10,0.344412881492099,0.824615013984103,0.347351633108017,2,-1.38246689153372,0.2,9
"X09AF.3",8,0.0610097823500258,1.00384425934347,0.503979449414083,1,-1.87077960835419,0.1,9
"X04AB.3",50,0.104596075180423,0.3527162086994,0.166642414030026,1,-1.48893746506979,0.1,9
"X04AJ.3",40,0.299306449722715,0.350088614201866,0.12797935741391,4,-0.396799651954119,0.4,9
"X06AE.3",17,0.246560429745618,0.708731502515603,0.522859235616253,3,-0.883930207764735,0.3,9
"X04AC.3",36,0.114192801831279,0.403051543894977,0.154141625368222,1,-1.87398271799493,0.1,9
"X04AK.3",42,0.101109537359871,0.269271587325157,0.11187197715926,1,-1.50316508419165,0.1,9
"X06AF.3",17,0.226804775611198,0.542985134975032,0.219259646652429,1,-1.44203625332409,0.1,9
"X07AJ.1",11,0.311097772903719,0.620670265576106,0.231813006489369,2,-1.33544056634537,0.2,9
"X09AU.1",7,0.955496839806962,0.614892142407939,0.394459368638659,7,0.863472196324055,0.7,9
"X09AU.3",5,1.0212527687998,1.06987458881441,0.280778464937617,4,-0.173167910243467,0.4,9
"X04AD.3",37,0.279976121629003,0.414238828261353,0.145418821411854,3,-0.923282868949216,0.3,9
"X04AL.3",48,0.118161794853156,0.348154320874143,0.100528303879346,1,-2.28783852055263,0.1,9
"X06AG.3",15,0.170386782722926,0.443726245805091,0.261887337232198,2,-1.04372920802892,0.2,9
"X08AJ.1",20,0.195116397793449,0.581206390295337,0.206808214069762,2,-1.86689873145778,0.2,9
"X08AJ.2",14,0.0690245054193038,0.559941106958494,0.313654963925088,1,-1.56514851668804,0.1,9
"X04AE.3",41,0.14136213037802,0.395624671427374,0.1990900931638,1,-1.27712302007997,0.1,9
"X04AF.3",49,0.1467493361851,0.359340557592203,0.138622476980668,1,-1.53359849021275,0.1,9
"X04AN.3",41,0.17897478497558,0.397560483533816,0.159304838934739,1,-1.37212215284799,0.1,9
"X06AO.3",19,0.0429534282915157,0.352223251656452,0.284185841141046,1,-1.08826612234859,0.1,9
"X08AN.3",8,0.0449659290606658,0.498119947317736,0.288145864101493,1,-1.57265494568215,0.1,9
"X04AG.3",45,0.163755119524272,0.36183133219143,0.0972305142750702,1,-2.03718157971262,0.1,9
"X08AS.1",3,1.262321613535,1.18065163272843,0.332175810894888,7,0.245863720740389,0.7,9
"X08AS.2",3,1.25936793213962,1.30943750656182,0.420067688092797,6,-0.119194062865274,0.6,9
"X04AH.3",26,0.105316586942334,0.444938748282642,0.20361232883301,1,-1.66798426837328,0.1,9
"X09AC.1",8,0.0759771600628954,0.439421634281765,0.311554513805165,1,-1.16655178504701,0.1,9
"X09AC.2",3,1.08885893390917,0.863663188043478,0.542009962359561,6,0.415482669147515,0.6,9
"X09AC.3",2,1.06112471083276,1.24884047233439,0.542138831008228,4,-0.346250352797129,0.4,9
"X07AO.1",15,0.253546106018068,0.676696715226637,0.461794984697375,4,-0.916317030783409,0.4,9
