,cc
00AA.1,12873758
00AB.1,14653240
00AC.1,13962785
00AD.1,17518469
00AE.1,20928662
00AF.1,28437532
00AG.1,32608672
00AH.1,24724752
00AI.1,24036835
00AJ.1,33513840
00AK.1,27974088
00AL.1,28310431
00AM.1,21845269
00AN.1,28657146
00AO.1,16064356
bk.1,32647738
02AA.1,41191911
02AB.1,29772052
02AC.1,30715364
02AD.1,30188793
02AE.1,25744856
02AF.1,28870075
02AG.1,31759268
02AH.1,28961753
02AI.1,38669005
02AJ.1,30481325
02AK.1,31869548
02AL.1,41925075
02AM.1,32334174
02AN.1,26308330
02AO.1,31927754
bk.2,36445588
03AA.1,30925533
03AB.1,30869567
03AC.1,31494653
03AD.1,29863137
03AE.1,25822646
03AF.1,33499269
03AG.1,31611442
03AH.1,41205288
03AJ.1,27195565
03AL.1,33081581
03AM.1,37166447
03AN.1,43603274
03AO.1,36965977
05AB.1,26452130
05AF.1,34826107
bk.3,36838982
00AA.2,13926555
00AB.2,17680750
00AC.2,13403966
00AD.2,13233380
00AE.2,19669384
00AF.2,29587151
00AG.2,28725938
00AH.2,27990624
00AI.2,32927726
00AJ.2,31121611
00AK.2,22633930
00AL.2,12682172
00AM.2,22587573
00AN.2,21944444
00AO.2,22084658
bk.4,36105496
02AA.2,41283552
02AB.2,26369388
02AC.2,28170217
02AD.2,30214695
02AE.2,23445067
02AF.2,27769128
02AG.2,31270383
02AH.2,31146277
02AI.2,32594460
02AJ.2,28814652
02AK.2,30944585
02AL.2,37383706
02AM.2,32552809
02AN.2,27125314
02AO.2,30660427
bk.5,36228318
03AA.2,30452512
03AB.2,33681847
03AC.2,29541100
03AD.2,30005735
03AE.2,30533968
03AF.2,31861622
03AG.2,33124313
03AH.2,42521490
03AJ.2,28849733
03AL.2,35249683
03AM.2,38667303
03AN.2,40932206
03AO.2,29669647
05AB.2,25071303
05AF.2,36196847
bk.6,37018656
00AA.3r,12924366
00AB.3r,17509915
00AC.3r,14186535
00AD.3r,15297065
00AE.3r,27604529
00AF.3r,28367741
00AG.3r,35948908
00AH.3r,37034604
00AI.3r,32424085
00AJ.3r,39500079
00AK.3r,34901438
00AL.3r,16316420
00AM.3r,16534594
00AN.3r,29566803
00AO.3r,33578043
bk.7r,39942851
02AA.3r,50172639
02AB.3r,31382962
02AC.3r,36333593
02AD.3r,31245081
02AE.3r,29035643
02AF.3r,28483391
02AG.3r,35272835
02AH.3r,34401373
02AI.3r,41064069
02AJ.3r,35132087
02AK.3r,35483978
02AL.3r,46613975
02AM.3r,34196762
02AN.3r,29766429
02AO.3r,32570072
bk.8r,36469029
03AA.3r,29870340
03AB.3r,38113339
03AC.3r,34634075
03AD.3r,33051699
03AE.3r,31445889
03AF.3r,38314495
03AG.3r,37505483
03AH.3r,48112169
03AJ.3r,35858842
03AL.3r,36102348
03AM.3r,41978074
03AN.3r,44855520
03AO.3r,34808270
05AB.3r,26819518
05AF.3r,34591239
bk.9r,37358663
04AA.1r,31512568
04AB.1r,30658828
04AC.1r,30160632
04AD.1r,34523077
04AE.1r,28834567
04AF.1r,38220764
04AG.1r,28680653
04AH.1r,29999549
04AI.1r,42858802
04AJ.1r,34715009
04AK.1r,36797307
04AL.1r,37217754
04AM.1r,31118225
04AN.1r,32416158
04AO.1r,35666959
bk.10r,455620
06AD.1r,32271760
06AE.1r,24019053
06AF.1r,19430245
06AG.1r,29198221
06AH.1r,24960490
06AO.1r,37732051
bk.12r,536350
bk.11r,153896
04AA.2r,37052356
04AB.2r,34739037
04AC.2r,26912912
04AD.2r,38334385
04AE.2r,32543875
04AF.2r,38199627
04AG.2r,29865977
04AH.2r,28441446
04AI.2r,38221103
04AJ.2r,35557099
04AK.2r,35802879
04AL.2r,37160722
04AM.2r,34490928
04AN.2r,30020328
04AO.2r,41071987
bk.13r,497344
06AD.2r,33858921
06AE.2r,23474667
06AF.2r,14953981
06AG.2r,31053109
06AH.2r,31618695
06AO.2r,37374588
bk.14r,1144765
bk.15r,4526824
04AA.3,27908458
04AB.3,28135281
04AC.3,27835204
04AD.3,42159587
04AE.3,32248322
04AF.3,31407416
04AG.3,29343744
04AH.3,33114311
04AI.3,39382885
04AJ.3,33618064
04AK.3,32468442
04AL.3,29321675
04AM.3,27649103
04AN.3,34689898
04AO.3,37195184
bk.16,348724
06AD.3,30524657
06AE.3,20182469
06AF.3,19114665
06AG.3,23790414
06AH.3,28297364
06AO.3,38497055
bk.17,445527
bk.18,262259
07AA.1,17749286
07AI.1,13157779
07AJ.1,21462414
08AJ.1,16063450
08AL.1,9629616
08AN.1,22419194
08AS.1,16733791
09AC.1,26248280
07AA.2,23970052
07AI.2,12850585
07AJ.2,14587723
08AJ.2,17879513
08AL.2,8115132
08AN.2,22907480
08AS.2,16259039
09AC.2,27355421
07AA.3,22047225
07AI.3,12464635
07AJ.3,13016700
08AJ.3,15939162
08AL.3,10206735
08AN.3,23865235
08AS.3,16668092
09AC.3,26959048
09AF.1,20304617
09AN.1,3907169
09AU.1,15558148
09AF.2,17345536
09AN.2,1904300
09AU.2,16727058
bk.19,210435
bk.20,222990
09AF.3,20557358
09AN.3,3250469
09AU.3,15760440
bk.21,39133989
bk.22,35464282
bk.23,35549255
bk.24,35976234
bk.25,36810321
NA1,0
NA2,0
NA3,0
NA4,0
NA5,0
NA6,0
NA7,0
NA8,0
NA9,0
NA10,0
NA11,0
NA12,0
NA13,0
NA14,0
NA15,0
NA16,0
NA17,0
NA18,0
NA19,0
NA20,0
NA21,0
NA22,0
NA23,0
NA24,0
NA25,0
NA26,0
NA27,0
NA28,0
NA29,0
NA30,0
NA31,0
NA32,0
03AI.1r,30893900
03AK.1r,27601708
05AA.1r,23913876
05AC.1r,45946044
05AD.1r,31744068
05AE.1r,24859425
05AG.1r,39787497
05AH.1r,31388615
05AI.1r,22914535
05AJ.1r,35334327
05AK.1r,37153485
05AL.1r,42510676
05AM.1r,27697213
05AN.1r,30409880
05AO.1r,35767760
bk.38r,44576962
06AA.1r,36254310
06AB.1r,34245559
06AC.1r,17984085
06AI.1r,21822642
06AJ.1r,30578335
06AK.1r,29770329
06AL.1r,43554897
06AM.1r,30532729
06AN.1r,28257361
07AB.1r,28777357
07AG.1r,31626851
07AL.1r,29984903
bk.26r,0
bk.27r,35514863
bk.28r,958122
bk.29,667722
03AI.2r,32516421
03AK.2r,28256371
05AA.2r,28518835
05AC.2r,46979392
05AD.2r,30608815
05AE.2r,23682299
05AG.2r,39996723
05AH.2r,31146591
05AI.2r,21290336
05AJ.2r,23629550
05AK.2r,36796794
05AL.2r,39735801
05AM.2r,35143401
05AN.2r,28730368
05AO.2r,36236354
bk.39r,757814
06AA.2r,39297694
06AB.2r,32991124
06AC.2r,17515684
06AI.2r,24732440
06AJ.2r,29930414
06AK.2r,33395792
06AL.2r,42236882
06AM.2r,33537097
06AN.2r,31283691
07AB.2r,14948549
07AG.2r,28039642
07AL.2r,25794177
bk.30r,0
bk.31r,35440755
bk.32r,995429
bk.33r,710523
03AI.3r,33252516
03AK.3r,25945539
