,rf
00AA.1,0.098967338
00AB.1,0.137420614
00AC.1,0.231343072
00AD.1,0.117150642
00AE.1,0.160117345
00AF.1,0.183119225
00AG.1,0.27027167
00AH.1,0.204892991
00AI.1,0.139747564
00AJ.1,0.195042435
00AK.1,0.209903314
00AL.1,0.177463864
00AM.1,0.154455604
00AN.1,0.269669007
00AO.1,0.167747302
bk.1,0.891616827
02AA.1,0.242946552
02AB.1,0.233437982
02AC.1,0.193515074
02AD.1,0.200064646
02AE.1,0.231138255
02AF.1,0.235855436
02AG.1,0.242254853
02AH.1,0.228421909
02AI.1,0.235241217
02AJ.1,0.216160115
02AK.1,0.215380387
02AL.1,0.208622339
02AM.1,0.223120918
02AN.1,0.283156031
02AO.1,0.290739116
bk.2,1.049117136
03AA.1,0.204703387
03AB.1,0.170291485
03AC.1,0.201727751
03AD.1,0.197131545
03AE.1,0.215460623
03AF.1,0.219433634
03AG.1,0.231893672
03AH.1,0.274241193
03AJ.1,0.182076447
03AL.1,0.197884267
03AM.1,0.197778565
03AN.1,0.208892655
03AO.1,0.229992812
05AB.1,0.248034549
05AF.1,0.221498633
bk.3,1.058971618
00AA.2,0.102713582
00AB.2,0.209754154
00AC.2,0.193528094
00AD.2,0.086539995
00AE.2,0.120590308
00AF.2,0.207143549
00AG.2,0.304728108
00AH.2,0.24547422
00AI.2,0.195488091
00AJ.2,0.175789522
00AK.2,0.170035598
00AL.2,0.131424401
00AM.2,0.149880655
00AN.2,0.173420962
00AO.2,0.218790375
bk.4,1.031241519
02AA.2,0.213307157
02AB.2,0.200246822
02AC.2,0.193026748
02AD.2,0.203555567
02AE.2,0.228776653
02AF.2,0.246858252
02AG.2,0.258773706
02AH.2,0.210661
02AI.2,0.194922052
02AJ.2,0.197897021
02AK.2,0.221190252
02AL.2,0.17716859
02AM.2,0.198980112
02AN.2,0.253388083
02AO.2,0.245199122
bk.5,1.023062881
03AA.2,0.206600181
03AB.2,0.185450261
03AC.2,0.18808907
03AD.2,0.189547918
03AE.2,0.193920559
03AF.2,0.204675804
03AG.2,0.235582881
03AH.2,0.240077401
03AJ.2,0.176658378
03AL.2,0.226650361
03AM.2,0.222862388
03AN.2,0.214843574
03AO.2,0.222789605
05AB.2,0.242814891
05AF.2,0.235196318
bk.6,1.087330807
00AA.3r,0.105366769
00AB.3r,0.121212306
00AC.3r,0.152824753
00AD.3r,0.111222475
00AE.3r,0.258113176
00AF.3r,0.247785026
00AG.3r,0.294435762
00AH.3r,0.359821117
00AI.3r,0.208127821
00AJ.3r,0.230460374
00AK.3r,0.19558894
00AL.3r,0.181418884
00AM.3r,0.149688069
00AN.3r,0.250873914
00AO.3r,0.290690422
bk.7r,1.131588875
02AA.3r,0.307255082
02AB.3r,0.250980538
02AC.3r,0.229452999
02AD.3r,0.204488346
02AE.3r,0.247081643
02AF.3r,0.237243587
02AG.3r,0.304985362
02AH.3r,0.385081027
02AI.3r,0.276937441
02AJ.3r,0.23317204
02AK.3r,0.23116229
02AL.3r,0.276973045
02AM.3r,0.229970156
02AN.3r,0.354678842
02AO.3r,0.257294138
bk.8r,1.058824063
03AA.3r,0.211058063
03AB.3r,0.218365904
03AC.3r,0.203588246
03AD.3r,0.223181117
03AE.3r,0.235758217
03AF.3r,0.397261626
03AG.3r,0.239897247
03AH.3r,0.563350511
03AJ.3r,0.231936489
03AL.3r,0.209580157
03AM.3r,0.214607643
03AN.3r,0.258368936
03AO.3r,0.241283974
05AB.3r,0.234132172
05AF.3r,0.276698903
bk.9r,1.102706968
04AA.1r,0.213975065
04AB.1r,0.212486678
04AC.1r,0.158755605
04AD.1r,0.238167136
04AE.1r,0.182516408
04AF.1r,0.310983728
04AG.1r,0.243566511
04AH.1r,0.345601157
04AI.1r,0.297414943
04AJ.1r,0.202045381
04AK.1r,0.200166875
04AL.1r,0.229741701
04AM.1r,0.239721017
04AN.1r,0.28800667
04AO.1r,0.287557901
bk.10r,0.004289545
06AD.1r,0.219910191
06AE.1r,0.203514867
06AF.1r,0.183397915
06AG.1r,0.235607298
06AH.1r,0.21995399
06AO.1r,0.376178494
bk.12r,0.003743752
bk.11r,0.002022254
04AA.2r,0.254265958
04AB.2r,0.247897469
04AC.2r,0.182236673
04AD.2r,0.261040836
04AE.2r,0.236760104
04AF.2r,0.312283389
04AG.2r,0.248814089
04AH.2r,0.317790333
04AI.2r,0.378972099
04AJ.2r,0.203904546
04AK.2r,0.194080854
04AL.2r,0.236059432
04AM.2r,0.282173975
04AN.2r,0.27885801
04AO.2r,0.301271311
bk.13r,0.005119421
06AD.2r,0.231807699
06AE.2r,0.203761377
06AF.2r,0.154565919
06AG.2r,0.364587958
06AH.2r,0.323611974
06AO.2r,0.322642196
bk.14r,0.004636205
bk.15r,0.14855827
04AA.3,0.176226958
04AB.3,0.23589196
04AC.3,0.302850728
04AD.3,0.296654662
04AE.3,0.421923635
