,CO2
G00.01.01,3.027544184
G00.02.01,3.172657169
G00.03.01,1.928391164
G02.01.01,2.811609867
G02.02.01,2.436729919
G02.03.01,2.560413947
G03.01.01,4.522579963
G03.02.01,3.501215067
G03.03.01,3.189602842
G04.01.01,0.137511565
G04.02.01,1.817283024
G04.03.01,1.622213401
G00.01.02,3.021306385
G00.02.02,2.658981408
G00.03.02,1.200051333
G02.01.02,3.37978168
G02.02.02,2.473926531
G02.03.02,4.415188476
G03.01.02,3.614698973
G03.02.02,0.82343053
G03.03.02,2.541963239
G04.01.02,0.857103899
G04.02.02,2.211443732
G04.03.02,2.244576025
G00.01.03,0.593947883
G00.02.03,1.995739705
G00.03.03,1.853784433
G02.01.03,3.75896405
G02.02.03,2.692353706
G02.03.03,2.615649191
G03.01.03,3.743180969
G03.02.03,0.978404568
G03.03.03,1.975534456
G04.01.03,2.753032231
G04.02.03,1.773073532
G04.03.03,0.103971616
G00.01.04,2.132407535
G00.02.04,1.071474738
G00.03.04,0.821763488
G02.01.04,2.267957548
G02.02.04,2.998172391
G02.03.04,3.088648374
G03.01.04,2.928194518
G03.02.04,1.060738158
G03.03.04,2.254711711
G04.01.04,0.696048205
G04.02.04,1.928781715
G04.03.04,0.452648881
G00.01.05,0.837857197
G00.02.05,2.975841518
G00.03.05,2.598502895
G02.01.05,0.315200899
G02.02.05,2.825564168
G02.03.05,2.306925648
G03.01.05,3.364777444
G03.02.05,4.31776824
G03.03.05,0.944780093
G04.01.05,2.860106702
G04.02.05,0.22057101
G04.03.05,0.784838154
G00.01.06,0.889191789
G00.02.06,1.77430719
G00.03.06,0.275060914
G02.01.06,3.605956036
G02.02.06,2.789660662
G02.03.06,1.056264171
G03.01.06,2.315980658
G03.02.06,2.430368217
G03.03.06,2.567670342
G04.01.06,0.833450351
G04.02.06,4.022929368
G04.03.06,0.182744525
G00.01.07,-0.164299122
G00.02.07,3.154321142
G00.03.07,0.710327245
G02.01.07,0.517641786
G02.02.07,3.817765748
G02.03.07,3.245692974
G03.01.07,0.289590084
G03.02.07,0.720235622
G03.03.07,3.281909814
G04.01.07,4.164555794
G04.02.07,2.837328704
G04.03.07,1.210320152
G00.01.08,2.380914026
G00.02.08,1.621736726
bk1,-0.006102006
bk2,-0.050206992
bk3,0.208970086
bk4,0.149329448
bk5,0.170183682
bk6,-0.109672395
bk7,-0.033851066
bk8,-0.182141478
bk9,-0.147056194
bk10,-0.465788352
G00.01.09,0.230947043
G00.02.09,3.007415346
G00.03.09,0.253895655
G02.01.09,-0.244304037
G02.02.09,3.011715663
G02.03.09,3.464185475
G03.01.09,3.011425481
G03.02.09,0.370164797
G03.03.09,1.807913767
G04.01.09,1.413033914
G04.02.09,2.241512403
G04.03.09,0.433946271
G00.01.10,0.143308157
G00.02.10,0.455091011
G00.03.10,2.736462281
G02.01.10,1.671452814
G02.02.10,3.457512863
G02.03.10,1.612745514
G03.01.10,0.042916125
G03.02.10,1.083182895
G03.03.10,2.139287451
G04.01.10,-0.223473974
G04.02.10,3.408219928
G04.03.10,0.596200319
G00.01.11,2.211939962
G00.02.11,0.050364661
G00.03.11,0.735360545
G02.01.11,0.633418835
G02.02.11,2.959253248
G02.03.11,2.104520618
G03.01.11,0.324523447
G03.02.11,-0.089192862
G03.03.11,-0.039401596
G04.01.11,0.799971783
G04.02.11,1.614705384
G04.03.11,-0.229615735
G00.01.12,0.825695018
G00.02.12,3.020955295
G00.03.12,2.708880621
G02.01.12,3.204531031
G02.02.12,3.423284574
G02.03.12,2.356087794
G03.01.12,1.021496714
G03.02.12,3.006502535
G03.03.12,1.982131441
G04.01.12,-0.071448169
G04.02.12,-0.146326708
G04.03.12,3.026640621
G00.01.13,2.397636679
G00.02.13,0.461269871
G00.03.13,2.796028149
G02.01.13,2.513570108
G02.02.13,2.049093216
G02.03.13,2.11267965
G03.01.13,0.725592552
G03.02.13,1.527168982
G03.03.13,-0.042768599
G04.01.13,-0.110319535
G04.02.13,0.792304654
G04.03.13,-0.189097512
G00.01.14,-0.054057592
G00.02.14,0.010594385
G00.03.14,1.363593059
G02.01.14,3.29593129
G02.02.14,2.374945915
G02.03.14,2.86119362
G03.01.14,3.290564499
G03.02.14,2.162064845
G03.03.14,2.448810371
G04.01.14,0.750848833
G04.02.14,3.291951162
G04.03.14,0.605548411
G00.01.15,1.949418588
G00.02.15,0.096237763
G00.03.15,0.248388837
G02.01.15,3.500079421
G02.02.15,3.424797729
G02.03.15,3.045837253
G03.01.15,3.428187637
G03.02.15,0.065009969
G03.03.15,2.158070085
