,cc
G00.01.01,33413267
G00.02.01,41687425
G00.03.01,9992460
G02.01.01,29805720
G02.02.01,32575046
G02.03.01,34442159
G03.01.01,25237936
G03.02.01,38046224
G03.03.01,35875711
G04.01.01,720982
G04.02.01,19775345
G04.03.01,29587329
G00.01.02,40810644
G00.02.02,45860365
G00.03.02,50652672
G02.01.02,35928891
G02.02.02,45647164
G02.03.02,33716507
G03.01.02,111901853
G03.02.02,31814934
G03.03.02,108769748
G04.01.02,81681149
G04.02.02,26494172
G04.03.02,58569715
G00.01.03,32907550
G00.02.03,17627583
G00.03.03,38667815
G02.01.03,34656495
G02.02.03,22982316
G02.03.03,26491456
G03.01.03,40321414
G03.02.03,31981527
G03.03.03,34608447
G04.01.03,11150070
G04.02.03,26652693
G04.03.03,490096
G00.01.04,30803307
G00.02.04,37260891
G00.03.04,93343933
G02.01.04,30627822
G02.02.04,26100744
G02.03.04,26846584
G03.01.04,37017155
G03.02.04,19837302
G03.03.04,29264923
G04.01.04,17438822
G04.02.04,26471338
G04.03.04,29174192
G00.01.05,32144399
G00.02.05,36385708
G00.03.05,40650160
G02.01.05,1379708
G02.02.05,31164787
G02.03.05,36616890
G03.01.05,57874758
G03.02.05,35762854
G03.03.05,28740697
G04.01.05,38493609
G04.02.05,1076596
G04.03.05,18261610
G00.01.06,31595926
G00.02.06,111336393
G00.03.06,21219494
G02.01.06,34479867
G02.02.06,31817925
G02.03.06,47144949
G03.01.06,41916953
G03.02.06,32447196
G03.03.06,36743294
G04.01.06,37643628
G04.02.06,25877973
G04.03.06,29198837
G00.01.07,41710906
G00.02.07,48801475
G00.03.07,46215108
G02.01.07,3545751
G02.02.07,41479433
G02.03.07,31012179
G03.01.07,2167089
G03.02.07,8264552
G03.03.07,37205847
G04.01.07,56981915
G04.02.07,35474799
G04.03.07,32690009
G00.01.08,26825130
G00.02.08,55017612
bk1,2178708
bk2,181941
bk3,67533
bk4,54190
bk5,31573
bk6,54190
bk7,10811
bk8,5205099
bk9,1027705
bk10,0
G00.01.09,46942730
G00.02.09,18845361
G00.03.09,39809430
G02.01.09,2494225
G02.02.09,40644812
G02.03.09,34422416
G03.01.09,33601861
G03.02.09,32740070
G03.03.09,29175356
G04.01.09,33468508
G04.02.09,35844475
G04.03.09,26580731
G00.01.10,28899636
G00.02.10,39969350
G00.03.10,34431640
G02.01.10,34487448
G02.02.10,34744056
G02.03.10,39209294
G03.01.10,1717048
G03.02.10,3464376
G03.03.10,29289126
G04.01.10,561870
G04.02.10,27317194
G04.03.10,20065083
G00.01.11,35482147
G00.02.11,45261352
G00.03.11,26389838
G02.01.11,27514950
G02.02.11,33560426
G02.03.11,35148827
G03.01.11,12059330
G03.02.11,255887
G03.03.11,59235
G04.01.11,20643923
G04.02.11,11583359
G04.03.11,4113187
G00.01.12,25888320
G00.02.12,27689273
G00.03.12,23947569
G02.01.12,36123080
G02.02.12,37330452
G02.03.12,29408104
G03.01.12,23120992
G03.02.12,42109677
G03.03.12,32666170
G04.01.12,901290
G04.02.12,177890
G04.03.12,29879660
G00.01.13,31816390
G00.02.13,57647179
G00.03.13,32681618
G02.01.13,26136541
G02.02.13,34182619
G02.03.13,32656676
G03.01.13,30691662
G03.02.13,26465241
