,rf
G00.01.01,0.537995676
G00.02.01,0.652642601
G00.03.01,0.162477259
G02.01.01,0.507502538
G02.02.01,0.480731038
G02.03.01,0.272465234
G03.01.01,0.218530596
G03.02.01,0.461086605
G03.03.01,0.47301642
G04.01.01,0.007891365
G04.02.01,0.831609779
G04.03.01,0.43919242
G00.01.02,0.624981086
G00.02.02,0.663120465
G00.03.02,0.638857788
G02.01.02,0.469048353
G02.02.02,0.373828904
G02.03.02,0.484076649
G03.01.02,1.160625783
G03.02.02,0.513751992
G03.03.02,1.349419902
G04.01.02,1.084097074
G04.02.02,0.259488263
G04.03.02,0.490639866
G00.01.03,0.409343786
G00.02.03,0.440870399
G00.03.03,0.500866342
G02.01.03,0.461560962
G02.02.03,0.191375097
G02.03.03,0.208420837
G03.01.03,0.60430707
G03.02.03,0.612943377
G03.03.03,0.379263721
G04.01.03,0.213829268
G04.02.03,0.422615297
G04.03.03,0.005588536
G00.01.04,0.406566463
G00.02.04,0.47761345
G00.03.04,1.574252422
G02.01.04,0.873292146
G02.02.04,0.200236788
G02.03.04,0.231284345
G03.01.04,0.582871525
G03.02.04,0.555042063
G03.03.04,0.416599563
G04.01.04,0.353256014
G04.02.04,0.354276184
G04.03.04,0.54780323
G00.01.05,0.456651787
G00.02.05,0.394493979
G00.03.05,0.572466226
G02.01.05,0.017650514
G02.02.05,0.229829727
G02.03.05,0.292099794
G03.01.05,0.481296784
G03.02.05,0.683204941
G03.03.05,0.643343163
G04.01.05,0.540071645
G04.02.05,0
G04.03.05,0.891616732
G00.01.06,1.499951845
G00.02.06,2.059898691
G00.03.06,0.330244479
G02.01.06,0.435032942
G02.02.06,0.244927568
G02.03.06,0.588291415
G03.01.06,1.078357873
G03.02.06,0.27135162
G03.03.06,0.31234792
G04.01.06,0.688746373
G04.02.06,0.577460663
G04.03.06,0.501514171
G00.01.07,0.501471683
G00.02.07,0.507637016
G00.03.07,0.578360715
G02.01.07,0.052647136
G02.02.07,0.571946517
G02.03.07,0.407735934
G03.01.07,0.034276319
G03.02.07,0.088684787
G03.03.07,0.418901881
G04.01.07,0.655828573
G04.02.07,0.496420319
G04.03.07,1.211315819
G00.01.08,0.234161677
G00.02.08,0.576649396
bk1,0.021540501
bk2,0.002510854
bk3,0.000994838
bk4,0.000938008
bk5,0.000469289
bk6,0.001240862
bk7,0.000241659
bk8,0.258309304
bk9,0.044085696
bk10,0
G00.01.09,0.50506482
G00.02.09,0.259133395
G00.03.09,0.716913632
G02.01.09,0.040744173
G02.02.09,0.469019726
G02.03.09,0.327192764
G03.01.09,0.462364509
G03.02.09,0.484460985
G03.03.09,0.404766935
G04.01.09,0.36443884
G04.02.09,0.551080926
G04.03.09,0.637602058
G00.01.10,0.399431348
G00.02.10,0.553909974
G00.03.10,0.414729058
G02.01.10,0.358143774
G02.02.10,0.571207117
G02.03.10,0.407484595
G03.01.10,0.019284588
G03.02.10,0.046167388
G03.03.10,0.382438584
G04.01.10,0.006866261
G04.02.10,0.376805148
G04.03.10,0.495776249
G00.01.11,0.452306039
G00.02.11,0.504504761
G00.03.11,0.279089762
G02.01.11,0.42883796
G02.02.11,0.556007056
G02.03.11,0.453588187
G03.01.11,0.102177694
G03.02.11,0.003195101
G03.03.11,0.001777536
G04.01.11,0.735689651
G04.02.11,0.375755125
G04.03.11,0.139747102
G00.01.12,1.125926666
G00.02.12,0.250504998
G00.03.12,0.318612468
G02.01.12,0.460488144
G02.02.12,0.496073201
G02.03.12,0.327676119
