ID,Adjusted cell count/mL,time
00AA,474051,24
00AB,472891,24
00AC,468829,24
00AD,476517,24
00AE,387016,24
00AF,406019,24
00AG,372510,24
00AH,396735,24
00AI ,373526,24
00AJ,358585,24
00AK,371785,24
00AL,413272,24
00AM,402827,24
00AN,394559,24
00AO,365402,24
02AA,304913,24
02AB,385565,24
02AC,257189,24
02AD,278802,24
02AE,293598,24
02AF,334650,24
02AG,212946,24
02AH,233399,24
02AI,247615,24
02AJ,290842,24
02AK,248340,24
02AL,259655,24
02AM,258784,24
02AN,287651,24
02AO,221069,24
03AA,428793,24
03AB,199455,24
03AC,315067,24
03AD,372510,24
03AE,271259,24
03AF,307814,24
03AG,191912,24
03AH,242103,24
03AI,249065,24
03AJ,368158,24
03AK,207144,24
03AL,611131,24
03AM,202647,24
03AN,235140,24
03AO,395139,24
04AA,249646,24
04AB,201196,24
04AC,255738,24
04AD,312891,24
04AE,233834,24
04AF,439962,24
04AG,150716,24
04AH,244859,24
04AI,266908,24
04AJ,297950,24
04AK,213526,24
04AL,243408,24
04AM,260380,24
04AN,355538,24
04AO,305493,24
05AA,56718,24
05AB,167543,24
05AC,87470,24
05AD,93128,24
05AE,39601,24
05AF,112565,24
05AG,47289,24
05AH,58894,24
05AI,45548,24
05AJ,87325,24
05AK,72094,24
05AL,62375,24
05AM,59909,24
05AN,114016,24
05AO,110535,24
06AA,65131,24
06AB,85294,24
06AC,115467,24
06AD,39601,24
06AE,134904,24
06AF,120834,24
06AG,44243,24
06AH,93273,24
06AI,97189,24
06AJ,136790,24
06AK,46564,24
06AL,39311,24
06AM,65276,24
06AN,130117,24
06AO,179873,24
